id,url,idfy-face-dataset,eyeball_results_previous,image_type,Via_nonML,blur,exposure,eclipsed,reflection on face,face_cropped,image_bbol,Via_nonML
true_1,https://storage.googleapis.com/idfy-face-dataset/master_dataset/face_liveness/master_4000/c432797e-a290-45d4-842b-97c902e5293a.jpg?GoogleAccessId=aakash-jhawar%40idfy-dev.iam.gserviceaccount.com&Expires=1719778334&Signature=F7utr8vPBnbRthWUvTLtz7tgug9rJPfm72zCLzmKaZClAXTKpZCR%2Bwet8%2BMSJ08Pn0oYfg2G2%2FFpam51XGQtnrX8%2BetZCA%2BZ%2BjdhH%2F6ss25Xqq80tkYDQrp%2BlPbgUzupF0w%2Fnh%2FiC7rneNEnmCjT6GAGqDAltfh2IRBEFt1K08wBxjdxjCnSa0Sk4TSuMdCv90f%2FPjwUAPZKqmbjKf%2BrY3DXoj94FZU6fXwqiqp73K%2BoScf4WbJxE%2B5kvthP8Mjl1ZbVzMo%2FfrFlJbcf%2Fo0ZqodQGBY%2B%2B7LvgYdJrymJDuXlJXQQpuMyjSqKw8uS6r%2BBx88XLrspESgJHEZ%2FxrDP5Q%3D%3D,master_dataset/face_liveness/master_4000/c432797e-a290-45d4-842b-97c902e5293a.jpg,Selfie,Selfie,FALSE,No,None,No,No,No,True,#N/A
true_2,https://storage.googleapis.com/idfy-face-dataset/master_dataset/face_liveness/master_4000/51899770-bd3e-4f85-8695-b7ee6e59314f.png?GoogleAccessId=aakash-jhawar%40idfy-dev.iam.gserviceaccount.com&Expires=1719778334&Signature=kxsoZMhlEdh2T8SSkrzchBHvevn5XsOE3ivrxTJ%2B2HncEN2uwZRNYE%2BwfQPuAwSmcSsIp0VqXoT59BAhMHi6mYG47VwaYwaHtwwUwn9eF6hc7U7V2iP6XMHDnlCdcv8IGQgKyjeY1mGAIbHyAC21lArCSuBJpfswYJMmZFTY46fbdrSMT1r2kJgLu3lb1at073hFiqBXBOVhijOey0ebD8gHYYD0ONXrQNSLi2wNEkHaztokQZeaCN954b6ozYAZ7JVSUs%2BOTs%2BJl8ATtuRwomklo1aEc1%2FCbA6frTAgDEqHH1Z1ALXXL%2FTNR%2BTpjNwl5yddm7S32GCp3L86AMNMpQ%3D%3D,master_dataset/face_liveness/master_4000/51899770-bd3e-4f85-8695-b7ee6e59314f.png,Selfie,Selfie,FALSE,No,None,No,No,No,True,#N/A
true_3,https://storage.googleapis.com/idfy-face-dataset/master_dataset/face_liveness/master_4000/4b665f5d-19ff-4682-baf0-7fd64e3549be.jpg?GoogleAccessId=aakash-jhawar%40idfy-dev.iam.gserviceaccount.com&Expires=1719778334&Signature=jhE4bEmwlii4%2FtENR9r4J%2FspBjR0onq6YUCfce7y7%2BsnidDA3oahgzLINu%2FCRzCKrNmuy3tZwbyeSJpb1%2F7UwjkySDds2CAr%2BknbMHaNjkVDuXDMpbodrBpM7xFpa5tkxVGsrnKzGrhZn4hlJRSE0p02FH%2BYO13%2BnXPxAM5L%2BfUW21wXW1jtNPRY9f5zUku1RvUiZE1iG2L3UXAsGBMiRw4%2FSZ%2BBmtJGfJNpRn8S9mADx6kORALthPmIMAvvYQYQxrISd9uTJ%2FIgpyQk9A0jIs4msbFFfWrN6DRxfnmoGT5mXssnth8yNgxY%2FG53xFO5Fw290jU9Ay407SZI3Ncr3w%3D%3D,master_dataset/face_liveness/master_4000/4b665f5d-19ff-4682-baf0-7fd64e3549be.jpg,Selfie,Selfie,FALSE,No,None,No,No,No,True,#N/A
true_4,https://storage.googleapis.com/idfy-face-dataset/master_dataset/face_liveness/master_4000/b588e043-9c23-4273-985f-7133c1080289.png?GoogleAccessId=aakash-jhawar%40idfy-dev.iam.gserviceaccount.com&Expires=1719778334&Signature=MBwwc84sAVQZM8M2YlNnMC%2FQyww%2B2wQZX1iaWrH9pXSU7VsM9eTa1orNLgoXQ%2FxQ01eIC%2FHlV047VHmfmuNFZuERuVrtHkzpnd9BpMKDxGHsZdx5uvaLEma1TswoR5n9V8tl4CQbypCdVc6PRDpUwY8AMCAB4chRRfqGsO7fSta8mVMdnTu6caxTNnR8PkUX9HDHHtq8eujpMpti8VkUIrv9pz%2Fc28VtJl1itAyVSdDK5L3NgRh8BLm9yiwxEj%2BHzsVMETkjnUqnE4irxZUGTvr27d33TVw%2FzbSGC%2FzPnU2t4ka697Ia0ZoYdKdtStFezDZsHqh3lBvdhbyvBjP9qw%3D%3D,master_dataset/face_liveness/master_4000/b588e043-9c23-4273-985f-7133c1080289.png,Selfie,Selfie,FALSE,No,None,No,No,No,True,#N/A
true_5,https://storage.googleapis.com/idfy-face-dataset/master_dataset/face_liveness/master_4000/a54b7a5a-7887-486c-8fe6-3c6227d74447.jpg?GoogleAccessId=aakash-jhawar%40idfy-dev.iam.gserviceaccount.com&Expires=1719778334&Signature=DuWHbkqr0uCyTTyxjg8M5VcyoB8rcKABjP3iUt88BrDN90LNNqGQ3qt4xPG5XQig5rIlT1uU8aNE4ZUGu2GvWUb24bw0%2FxPxKIcOjK5uQHN8aIkZwfwtg0E0goPEQYpXalCEWk3gr2%2F0zc4nEs4MAwKjH3cxZ8Z9BYGldSm79TkaWkXnE2LKSJ7FpvSOW0nFaTFZNERMx4b6r%2B%2F%2FFKCpEsGQN2mutpax5wQ6WvP8CmgR9RtLyzeXoZXAagPaKBYgbtjupR4j%2FuuluYAJ6DtnR117q1%2F4HT0HvtLxREOhErhd%2FWmDYdjdMLnfaK2wy9yVjPEg%2FK4LW92NaE9HuSa5WQ%3D%3D,master_dataset/face_liveness/master_4000/a54b7a5a-7887-486c-8fe6-3c6227d74447.jpg,Selfie,Selfie,TRUE,No,None,No,No,No,True,#N/A
true_6,https://storage.googleapis.com/idfy-face-dataset/master_dataset/face_liveness/master_4000/f8e6c146-cd17-43d8-996d-cb94ca98688d.png?GoogleAccessId=aakash-jhawar%40idfy-dev.iam.gserviceaccount.com&Expires=1719778334&Signature=NHOBvjnGQdLOmhOLjakxwieTXV8Csa%2FPOtIqGY3SJ%2B7B85H%2FmTtIcXI1ieEz5yD6Cqy3%2BDJm8fNVrFdVNCX8rQUnRn47kVaNH8d%2FD1CGtvsx4XK951tiBFO8d2Xy76rsksMPZN%2BcX%2B07mqSZNZ4leEu1vl4I2E9I5jxcNC2wf%2BwX3s%2BPSLu8dOXkib6o86zpyIEJ9suaEL2U33YnqpZUOIGHc2Ey6g%2BZyl6%2BVeVoq5l4HO4kQFzBdv9kPOB3tUBjLgmDtUhTOp2yiOlZxyQdTRtsWbjuCYy2GsiCLIz%2BQch%2F8oIP11YsTxIfG2v8My6ohSX6d2IoprK%2Fzm%2FXfxSGsw%3D%3D,master_dataset/face_liveness/master_4000/f8e6c146-cd17-43d8-996d-cb94ca98688d.png,Selfie,Selfie,FALSE,No,None,No,No,No,True,#N/A
true_7,https://storage.googleapis.com/idfy-face-dataset/master_dataset/face_liveness/master_4000/897f7284-d5dc-4982-a73d-bc58dc43c724.png?GoogleAccessId=aakash-jhawar%40idfy-dev.iam.gserviceaccount.com&Expires=1719778335&Signature=d8gRtWwKEBV9a4dgoPBRvewKZlUsM%2B439Xbfn3%2B2qi7PGK16wQAulZkYJclnLUC1SX6ukc8cSUAApf59CjPMH%2BFrtPxL2Jz9tfD3XhmV6pGcgjQAWn1Lx57Lml1zEan%2BS89Kl%2Fli%2B8TeXBIigZfTd0cCTCPaXuWszWfabyL9y5f3Y2w1Wi5C2UhR8HcNMdiypIicU0ENDxRPlanSNTiuY%2Bx4WOyHZ3zr8vaQ5S1uK3jD2jxhiyiISTro7oMMOpsH5TzFljP7JlnkWNX3zNEaK%2Fs6lJ9Demt9DWq%2Fn5m9x356KWbmBQUodtx1gqa9M7cpe79bWwE9QXQU8yS%2FtZDEkg%3D%3D,master_dataset/face_liveness/master_4000/897f7284-d5dc-4982-a73d-bc58dc43c724.png,Selfie,Selfie,FALSE,No,None,No,No,No,True,#N/A
true_8,https://storage.googleapis.com/idfy-face-dataset/master_dataset/face_liveness/master_4000/7f115646-729c-4529-ad5b-f26285b272b3.jpg?GoogleAccessId=aakash-jhawar%40idfy-dev.iam.gserviceaccount.com&Expires=1719778335&Signature=e%2BsSyFZ%2BprRgxylkdyq4fw00NssbRQ8yq6dwQPmNr5BimkgevpdN1er%2B0kwBBlIZ8RPaWIxCdx8Hgl3gp6vIt19VPYPw35P0iD6LS93RtD6Rn0zhqFJrRZEX%2F0FVd7FEIUs%2BvALDOoeZZoiXwVoSdWcwiMkWLd8dozN98RT6DU%2BsjLXJ5F0i4AV8xt1%2Bd2bDPHWaZaBdtecZRAG%2BYrfm8L%2F3lUpGULOfa%2BVTNqpqog%2BIzSnNtEKEHbpAv1iOKS4sbim2XHGD%2BaUM4h9vrM2W4z91hcV94RJgr7QSVggIr0tZ3p4Oh8R2OBUPa2OuhdubewAPV17PIvZQUtB3I04Ccw%3D%3D,master_dataset/face_liveness/master_4000/7f115646-729c-4529-ad5b-f26285b272b3.jpg,Selfie,Selfie,FALSE,No,None,No,No,No,True,#N/A
true_9,https://storage.googleapis.com/idfy-face-dataset/master_dataset/face_liveness/master_4000/b43ffafd-25cc-4aeb-ab4e-7ce43d491ebd.jpeg?GoogleAccessId=aakash-jhawar%40idfy-dev.iam.gserviceaccount.com&Expires=1719778335&Signature=Pmphfeu5PLGlK3HTau6GlqdHuWGkO0FoJW8MjISssmkLvE%2FosaAlYzBpRnQsszx7hllrT6K0%2FGQWF2k9FjFj4mjfxYgu%2BZ%2BQEsS%2Fp7Xr0WtLmJvrJXt6fUOwSvR0H%2BrGjGTrNbewURtn8%2BUe%2FIQ84j6mFdC9d49QuAHGZjXKefI2vIet16dfHBzn24Naf0cW61lvq5QTQ74HKAqaJiEtBXmvet4xoNq%2BUK7biScyKeExgFq7XEfhcPDRAbu%2FEb00MMm6z2ymFZT54OzrIETDHhpDjUkPHNGzCX%2BFiqZ7iGNZgiWM5gxQa3aUA56Jj%2Baoc7V%2FINeGf8JLsmDxa1kfmw%3D%3D,master_dataset/face_liveness/master_4000/b43ffafd-25cc-4aeb-ab4e-7ce43d491ebd.jpeg,Selfie,Selfie,FALSE,No,None,No,No,No,True,#N/A
true_10,https://storage.googleapis.com/idfy-face-dataset/master_dataset/face_liveness/master_4000/0a9a766e-cc39-490e-acce-1676975ca547.jpg?GoogleAccessId=aakash-jhawar%40idfy-dev.iam.gserviceaccount.com&Expires=1719778335&Signature=hnODEEpL4whZnCRm9QAEMVEvws7AZ35HJrpjZA5r3lyPaFGJhg0xo4BauAG45MwgiDsgfF4mV0EcZi5az7C2d9Sw4nUdP%2FqD6Dqx%2FBBnRtG4QcmMGPXFoC%2BrzgJa8RlPy6yrx%2BQ2Thym0sOi%2FvM2KjE5NnBVtESnHsq9zmNmQIobur%2F8jX8VyVrzGNrsix18hRqy5%2BLfM1QM8EaUIKIg7TzcLSIZcxoIfrn2TtV1Bv9u5t14BcXPObA%2Bz3H3xKduxUsFkIk5AjAkScSxh2L%2BQKLKHvN%2FwCohb6U1OkM6d313KDQrchpFV29NQjyKajXxSrTzY6dmufChSP%2BG3hbgAg%3D%3D,master_dataset/face_liveness/master_4000/0a9a766e-cc39-490e-acce-1676975ca547.jpg,Selfie,Selfie,TRUE,No,None,No,No,No,True,#N/A
